,equity
2008-03-26,132884.4014506106
2008-03-27,132410.868638556
2008-03-28,132602.97922944845
2008-03-31,130995.8810472307
2008-04-01,133995.32063748263
2008-04-02,132961.47429118244
2008-04-03,133908.5388378405
2008-04-04,137802.8288023032
2008-04-07,141149.32673046022
2008-04-08,140061.83782990978
2008-04-09,135355.05552842285
2008-04-10,138137.7456670226
2008-04-11,135677.5894166065
2008-04-14,133940.72309560166
2008-04-15,135160.16259661003
2008-04-16,141817.50163593466
2008-04-17,139284.53243183787
2008-04-18,142737.99153548782
2008-04-21,142585.37130339924
2008-04-22,140804.62869463197
2008-04-23,136812.73642956957
2008-04-24,134434.93588259208
2008-04-25,139961.5637380847
2008-04-28,138705.36711806746
2008-04-29,134349.01790538203
2008-04-30,134993.78952842584
2008-05-01,132880.38961685772
2008-05-02,135204.65772231173
2008-05-05,139052.0295853889
2008-05-06,139948.32769084297
2008-05-07,136219.8379004218
2008-05-08,138496.47746269483
2008-05-09,134213.29248654397
2008-05-12,134928.7896996244
2008-05-13,137386.1910359823
2008-05-14,134194.44515138117
2008-05-15,139005.65800194824
2008-05-16,142794.27004935715
2008-05-19,142405.64124748882
2008-05-20,142600.75088245128
2008-05-21,139927.7541505176
2008-05-22,141252.924008464
2008-05-23,137666.81027016218
2008-05-27,135462.98120722026
2008-05-28,137511.81781064018
2008-05-29,133513.83040957173
2008-05-30,138206.22610824037
2008-06-02,136468.5681586883
2008-06-03,137176.96544595168
2008-06-04,138666.24485567492
2008-06-05,143304.00010249967
2008-06-06,143103.9560812078
2008-06-09,145509.43825541527
2008-06-10,142460.09826998078
2008-06-11,140643.5065390393
2008-06-12,139841.76076104929
2008-06-13,146920.41937901507
2008-06-16,144686.8137072159
2008-06-17,143904.55264573015
2008-06-18,140881.12288683647
2008-06-19,141307.00123082203
2008-06-20,137304.5631700356
2008-06-23,140902.6490904445
2008-06-24,138952.02479102847
2008-06-25,142752.43837722295
2008-06-26,136687.2438340308
2008-06-27,135045.55571935073
2008-06-30,135834.5143297163
