,equity
2006-10-09,85258.48791242424
2006-10-10,85077.38449371429
2006-10-11,85949.61696634411
2006-10-12,85431.9777732155
2006-10-13,86317.11336406041
2006-10-16,86260.66997702804
2006-10-17,83193.62584298424
2006-10-18,78120.67166679834
2006-10-19,78380.10156086135
2006-10-20,78217.87333870115
2006-10-23,80102.72139364794
2006-10-24,83769.16725579409
2006-10-25,82810.23695057529
2006-10-26,84129.51060447845
2006-10-27,78731.11498471347
2006-10-30,77795.19385652809
2006-10-31,79327.8881035797
2006-11-01,78763.33138011191
2006-11-02,79028.17982341329
2006-11-03,78027.53842813634
2006-11-06,81167.39827597183
2006-11-07,83768.22057785989
2006-11-08,84955.93051345361
2006-11-09,80962.08263073278
2006-11-10,83950.04137435794
2006-11-13,83211.31176837836
2006-11-14,83718.19612743538
2006-11-15,81084.45394141425
2006-11-16,82673.58769230163
2006-11-17,82745.60608798893
2006-11-20,84363.52694570005
2006-11-21,84763.94345287538
2006-11-22,85278.25769963235
2006-11-24,84431.60812231645
2006-11-27,80155.03153123449
2006-11-28,80445.81248765298
2006-11-29,81606.84673534396
2006-11-30,82005.97543781565
2006-12-01,80284.07797145683
2006-12-04,82424.98536013594
2006-12-05,82790.1044951069
2006-12-06,83244.46934556257
2006-12-07,88627.84693465794
2006-12-08,89170.51527430057
2006-12-11,89983.28428396
2006-12-12,90010.31848115883
2006-12-13,90781.48263522664
2006-12-14,92037.35645396957
2006-12-15,92695.20519412005
2006-12-18,90919.93663770451
2006-12-19,92274.34851942495
2006-12-20,90940.43859187551
2006-12-21,89569.59337175493
2006-12-22,88525.03367744526
2006-12-26,88440.46083882204
2006-12-27,89686.39657994393
2006-12-28,89133.34182417781
2006-12-29,88616.96139802667
2007-01-03,89318.31233581863
2007-01-04,90270.6453976718
2007-01-05,87747.04329706753
2007-01-08,88229.33765280596
2007-01-09,90443.78032852979
2007-01-10,90381.65965333003
2007-01-11,90381.01417298206
2007-01-12,90636.73270652797
2007-01-16,91415.46939783318
2007-01-17,90736.64580347143
2007-01-18,86925.46909802085
2007-01-19,89248.3746962771
2007-01-22,86523.7557084273
2007-01-23,86502.35505614842
2007-01-24,89851.96789921931
2007-01-25,88387.28105272305
2007-01-26,89541.15309183279
2007-01-29,91097.81484481781
2007-01-30,92436.09099949192
2007-01-31,93061.33844839426
2007-02-01,91693.79332191806
2007-02-02,91770.18926985748
2007-02-05,93091.64726338041
2007-02-06,92111.54562944373
2007-02-07,95598.10851207192
2007-02-08,95805.42959507054
2007-02-09,93973.51976524883
2007-02-12,92581.96306435543
2007-02-13,93739.08627737549
2007-02-14,97774.48987321352
2007-02-15,97956.40945789644
2007-02-16,94930.58303734026
2007-02-20,95779.95267926437
2007-02-21,95249.26751615753
2007-02-22,95802.23507856052
2007-02-23,93612.66329812477
2007-02-26,88890.91853828273
2007-02-27,83262.17032287936
2007-02-28,83368.77616456301
2007-03-01,83186.7757591315
2007-03-02,79361.41128129553
2007-03-05,76187.15413921353
2007-03-06,76597.75545980978
2007-03-07,80068.13456457126
2007-03-08,83047.79111622364
2007-03-09,81788.21499610248
2007-03-12,81673.64898965156
2007-03-13,77341.32422071316
2007-03-14,77039.26927798905
2007-03-15,78381.9683665969
2007-03-16,79059.27814685147
2007-03-19,81014.11646792413
2007-03-20,84232.09639731127
2007-03-21,88633.04478193299
2007-03-22,86686.24888277544
2007-03-23,85818.61744665749
2007-03-26,85904.07713909632
2007-03-27,83056.36872498324
2007-03-28,80946.93396247135
2007-03-29,81133.30640918802
2007-03-30,80048.52431788584
2007-04-02,81187.77425739344
2007-04-03,83329.53415927922
2007-04-04,83177.44474270752
2007-04-05,83672.83718332948
2007-04-09,85922.15729833621
2007-04-10,85054.87313716755
2007-04-11,83749.66070456039
2007-04-12,85062.42431471065
2007-04-13,87208.65017284824
2007-04-16,86794.20559945186
2007-04-17,85656.6853398936
2007-04-18,88093.34813583817
2007-04-19,86838.76443919097
2007-04-20,87310.17162093832
2007-04-23,86868.17119665976
2007-04-24,87671.09100105858
2007-04-25,90003.59639785922
2007-04-26,86784.00327486986
2007-04-27,85524.70365492802
2007-04-30,83155.8279042014
2007-05-01,83116.30706999454
2007-05-02,87629.79878943988
2007-05-03,84520.91326737429
2007-05-04,83517.011361772
2007-05-07,82913.5694027803
2007-05-08,81118.30363180558
2007-05-09,80507.57486421936
2007-05-10,77448.85624820297
2007-05-11,77917.68461325332
2007-05-14,77092.65541371096
2007-05-15,75611.50219167341
2007-05-16,76639.17736648019
2007-05-17,76231.38800086877
2007-05-18,77309.50634103217
2007-05-21,79705.61664414647
2007-05-22,79495.47787706455
2007-05-23,79614.3798473539
2007-05-24,77364.78506211114
2007-05-25,76342.19456267999
2007-05-29,77245.95143417272
2007-05-30,75277.01534432119
2007-05-31,76207.51421849166
2007-06-01,78632.17240243961
2007-06-04,78789.60514855428
2007-06-05,81067.50988637032
2007-06-06,79464.42030498707
2007-06-07,77084.54081960888
2007-06-08,77827.65014350774
2007-06-11,79225.07341924703
2007-06-12,77802.5995732748
2007-06-13,80806.54751309443
2007-06-14,81937.69867026416
2007-06-15,82972.5161645297
2007-06-18,82779.33302498053
2007-06-19,83977.87900240369
2007-06-20,82623.27092595407
2007-06-21,86298.36507655024
2007-06-22,85239.22162233351
2007-06-25,84156.87420737286
2007-06-26,83536.8553464034
2007-06-27,86246.65965864119
2007-06-28,85814.97820686773
2007-06-29,86033.93959359129
2007-07-02,88684.57553727995
2007-07-03,88639.97097814707
2007-07-05,89419.48569920451
2007-07-06,91482.36435513465
2007-07-09,93875.58840897413
2007-07-10,92991.65879158078
2007-07-11,93850.8987417657
2007-07-12,95414.21535808657
2007-07-13,94841.00394019115
2007-07-16,93195.32124709165
2007-07-17,95429.41158434204
2007-07-18,94857.74606107653
2007-07-19,96619.95923100635
2007-07-20,148939.18841129946
2007-07-23,152233.89615968792
2007-07-24,150580.507210925
2007-07-25,149563.1476226799
2007-07-26,149952.5689179791
2007-07-27,150383.15220980474
2007-07-30,154749.28654024264
2007-07-31,153772.0734935239
2007-08-01,161077.46997032373
2007-08-02,165138.90400724782
2007-08-03,165709.8107940239
2007-08-06,164351.72290304527
2007-08-07,166967.49890703967
2007-08-08,169611.22623163913
2007-08-09,168452.72688859413
2007-08-10,166465.673824535
2007-08-13,167525.8449360744
2007-08-14,161935.79453143655
2007-08-15,160893.45367456655
2007-08-16,159808.0057212871
2007-08-17,161746.74227114726
2007-08-20,161146.18380662377
2007-08-21,161197.31602893284
2007-08-22,162272.2293364244
2007-08-23,161679.10503862228
2007-08-24,162837.84399314562
2007-08-27,162016.6601727756
2007-08-28,160902.36899838303
2007-08-29,164053.611003859
2007-08-30,164525.21989475944
2007-08-31,165865.0584504686
2007-09-04,167561.81925910187
2007-09-05,166746.90969084826
2007-09-06,168588.995282261
2007-09-07,166138.15473604013
2007-09-10,165418.19477655616
2007-09-11,167085.00269988895
2007-09-12,167220.83186771235
2007-09-13,167013.97641993736
2007-09-14,166748.13572464648
2007-09-17,166145.819550195
2007-09-18,170204.9308642382
2007-09-19,170785.9022582777
2007-09-20,169603.81569377304
2007-09-21,167905.4231316013
2007-09-24,175230.48063286152
2007-09-25,179899.89905123427
2007-09-26,177819.09384161688
2007-09-27,182205.06425862646
2007-09-28,180202.3377663253
2007-10-01,166151.45649765542
2007-10-02,157880.94642813355
2007-10-03,153727.89226659993
2007-10-04,158849.06653641586
2007-10-05,161938.5811697258
2007-10-08,167247.59847060355
2007-10-09,170792.8729612988
2007-10-10,170620.36397050341
2007-10-11,167965.05122562102
2007-10-12,173298.6821332116
2007-10-15,171542.88713425508
2007-10-16,171326.710320157
2007-10-17,172412.71740645423
2007-10-18,174641.5466197846
2007-10-19,168874.6669572254
2007-10-22,174595.8131688219
2007-10-23,180440.49093717377
2007-10-24,181798.35074253788
2007-10-25,177912.46314007466
2007-10-26,176865.39507373885
2007-10-29,183936.42144589048
2007-10-30,180496.5942008735
2007-10-31,166972.9353464756
2007-11-01,159879.16803023766
2007-11-02,158380.5656514958
2007-11-05,155155.10385940157
2007-11-06,160478.85668474913
2007-11-07,150001.64993011038
2007-11-08,146688.67082901337
2007-11-09,146844.87718640667
2007-11-12,143157.56622458866
2007-11-13,146849.92628145538
2007-11-14,142817.2607321329
2007-11-15,137128.27364301146
2007-11-16,137077.7635712805
2007-11-19,134077.10318105956
2007-11-20,134128.4386295981
2007-11-21,132379.9675780979
2007-11-23,132880.6823902096
2007-11-26,132688.09210151632
2007-11-27,135919.95314427553
2007-11-28,142652.24869404215
2007-11-29,142105.33364389726
2007-11-30,143410.34484288676
2007-12-03,143530.52583687028
2007-12-04,142937.26684054473
2007-12-05,144663.1537161515
2007-12-06,147451.70253796864
2007-12-07,149362.64474005144
2007-12-10,150747.7774152473
2007-12-11,146842.9646617595
2007-12-12,149062.95384900484
2007-12-13,148646.4971186742
2007-12-14,149880.56228024862
2007-12-17,142245.52459351442
2007-12-18,145759.15257444457
2007-12-19,146160.70903535248
2007-12-20,147198.48732160532
2007-12-21,147259.1121132084
2007-12-24,149129.63661575704
2007-12-26,149469.64031303843
2007-12-27,148127.67676259665
2007-12-28,147075.66981511223
2007-12-31,146550.30751420287
2008-01-02,146784.72808680034
2008-01-03,146202.51350498557
2008-01-04,141613.5722769115
2008-01-07,140231.69429086265
2008-01-08,132357.76291737944
2008-01-09,130074.65270585932
2008-01-10,131312.6932954087
2008-01-11,129620.85950170351
2008-01-14,130715.6848152656
2008-01-15,127728.0907732313
2008-01-16,130596.40891104187
2008-01-17,129395.89674197893
2008-01-18,129646.27230968793
2008-01-22,129689.40261276407
2008-01-23,128532.58635470641
2008-01-24,140930.97021206535
2008-01-25,138802.48121911217
2008-01-28,136548.30960746913
2008-01-29,130819.91403499151
2008-01-30,127646.11693391718
2008-01-31,133883.80187583744
2008-02-01,130985.42879579576
2008-02-04,131745.8754959863
2008-02-05,126461.90926136442
2008-02-06,119849.89693273409
2008-02-07,120497.24290768108
2008-02-08,120952.83760576865
2008-02-11,124582.30316507985
2008-02-12,124235.19460145422
2008-02-13,128535.71460743905
2008-02-14,129425.80355378003
2008-02-15,128027.73130039667
2008-02-19,124794.47414185805
2008-02-20,124919.68128275401
2008-02-21,123645.32912675271
2008-02-22,124127.82672510558
2008-02-25,123164.22730792775
2008-02-26,122243.36568322347
2008-02-27,128358.07925674778
2008-02-28,126811.55030169756
2008-02-29,126365.72282978515
2008-03-03,123470.01195397836
2008-03-04,124997.44734484862
2008-03-05,123947.82408347593
2008-03-06,124001.62221609303
2008-03-07,124140.46116528669
2008-03-10,121735.57209929168
2008-03-11,124809.03546143592
2008-03-12,126665.66982986372
2008-03-13,129353.0747200052
2008-03-14,128880.61113775132
2008-03-17,128085.67615014744
2008-03-18,131827.89872416024
