date,equity
2007-05-03,66804.66729485354
2007-05-04,66861.97264045657
2007-05-07,66861.97264045657
2007-05-08,67005.31953995336
2007-05-09,67148.83351042858
2007-05-10,66231.11262588798
2007-05-11,67076.99298970174
2007-05-14,66618.21608292068
2007-05-15,66101.96675955813
2007-05-16,66747.36194925052
2007-05-17,66431.7648709878
2007-05-18,66976.75040264106
2007-05-21,67406.79110113141
2007-05-22,67464.26351771287
2007-05-23,67148.83351042858
2007-05-24,66188.0083134519
2007-05-25,66603.84797877532
2007-05-29,67120.09730213784
2007-05-30,67664.91576281268
2007-05-31,67980.34577009697
2007-06-01,68023.45008253306
2007-06-04,68224.26939861132
2007-06-05,68224.10232763288
2007-06-06,67492.83265502517
2007-06-07,66445.96590415473
2007-06-08,67263.44420163463
2007-06-11,67134.46540628321
2007-06-12,66732.99384510516
2007-06-13,67464.26351771287
2007-06-14,67908.67232034859
2007-06-15,68492.75246095553
2007-06-18,68550.05780655856
2007-06-19,68535.68970241318
2007-06-20,67889.96037076392
2007-06-21,68506.95349412244
2007-06-22,67861.22416247318
2007-06-25,67574.19622152275
2007-06-26,67186.7586225332
2007-06-27,68220.09262415043
2007-06-28,68191.35641585971
2007-06-29,68306.1341780442
2007-07-02,68894.391093112
2007-07-03,69324.93300453766
2007-07-05,69827.14836571169
2007-07-06,70114.17630666214
2007-07-09,70157.28061909822
2007-07-10,69568.85663305198
2007-07-11,70042.50285691374
2007-07-12,71118.77409998863
2007-07-13,71606.62135701731
2007-07-16,71534.94790726893
2007-07-17,72080.10050990063
2007-07-18,71994.05895600688
2007-07-19,72209.41344720892
2007-07-20,71821.80877724092
2007-07-23,71850.54498553165
2007-07-24,70788.64184660211
2007-07-25,70889.05150464125
2007-07-26,70286.42648542808
2007-07-27,68865.82195579969
2007-07-30,69669.43336206954
2007-07-31,68205.72452000507
2007-08-01,68736.67608946987
2007-08-02,69368.03731697374
2007-08-03,68047.8424453845
2007-08-06,68837.08574750897
2007-08-07,69324.93300453766
2007-08-08,70085.60716934982
2007-08-09,68464.01625266478
2007-08-10,67846.85605832782
2007-08-13,68306.1341780442
2007-08-14,67143.82138107554
2007-08-15,65866.56375094397
2007-08-16,65220.83441929469
2007-08-17,66454.98773699018
2007-08-20,66770.75188623134
2007-08-21,67473.78656348363
2007-08-22,68392.17573193795
2007-08-23,68205.72452000507
2007-08-24,69167.05092991707
2007-08-27,68707.93988117913
2007-08-28,67071.98086034872
2007-08-29,68994.96782212955
2007-08-30,69353.66921282838
2007-08-31,70128.54441080747
2007-09-04,71290.85720777615
2007-09-05,70573.4544263785
2007-09-06,70515.98200979704
2007-09-07,69210.15524235317
2007-09-10,69167.05092991707
2007-09-11,70214.75303567968
2007-09-12,70228.95406884662
2007-09-13,70573.4544263785
2007-09-14,70630.75977198154
2007-09-17,70042.50285691374
2007-09-18,71807.607744074
2007-09-19,71994.05895600688
2007-09-20,71793.23963992862
2007-09-21,72304.30976295969
2007-09-24,72634.60908732466
2007-09-25,73323.60980238846
2007-09-26,73682.64533504414
2007-09-27,74055.88190086678
2007-09-28,73811.791201374
2007-10-01,74659.00813301523
2007-10-02,74673.20916618216
2007-10-03,74156.45862988432
2007-10-04,74328.70880865026
2007-10-05,75836.19024706456
2007-10-08,76310.00354190473
2007-10-09,76640.46993724814
2007-10-10,76826.92114918103
2007-10-11,75606.46765171716
2007-10-12,76855.65735747175
2007-10-15,76266.89922946866
2007-10-16,75908.0307677914
2007-10-17,76884.39356576248
2007-10-18,77214.525819149
2007-10-19,75290.703502476
2007-10-22,76195.22577972026
2007-10-23,77788.91584300675
2007-10-24,77200.15771500365
2007-10-25,76166.48957142953
2007-10-26,77429.88031035106
2007-10-29,77760.17963471601
2007-10-30,77903.69360519123
2007-10-31,79009.20226949218
2007-11-01,77530.45703936862
2007-11-02,78133.41620053863
2007-11-05,77630.86669740774
2007-11-06,78506.81983733969
2007-11-07,76597.19855383362
2007-11-08,74271.23639206882
2007-11-09,71787.39215568342
2007-11-12,69963.97949704953
2007-11-13,72849.9635785267
2007-11-14,71916.7050929917
2007-11-15,71528.9333520453
2007-11-16,72189.36492979678
2007-11-19,71356.68317327934
2007-11-20,71643.8781852082
2007-11-21,70796.82832454541
2007-11-23,71557.66956033601
2007-11-26,70323.01502970523
2007-11-27,71730.0868100804
2007-11-28,73912.36793039154
2007-11-29,74228.13207963272
2007-11-30,73668.27723089878
2007-12-03,73050.94996558338
2007-12-04,72749.38684950914
2007-12-05,74041.51379672141
2007-12-06,75118.45332371005
2007-12-07,75132.65435687698
2007-12-10,75434.21747295122
2007-12-11,73682.64533504414
2007-12-12,74343.07691279563
2007-12-13,73941.10413868228
2007-12-14,73180.09583191323
2007-12-17,71399.78748571542
2007-12-18,71629.51008106284
2007-12-19,71615.14197691747
2007-12-20,73079.68617387411
2007-12-21,74521.6757887421
2007-12-24,75082.19892138976
2007-12-26,75455.76962916926
2007-12-27,74636.62062190501
2007-12-28,74536.04389288746
2007-12-31,73616.15108562722
2008-01-02,72509.47292447723
2008-01-03,72753.73069494843
2008-01-04,69563.17621978522
2008-01-07,69232.5427534634
2008-01-08,67436.02852235743
2008-01-09,68873.17307885083
2008-01-10,68973.74980786839
2008-01-11,67622.81387624718
2008-01-14,68801.33255812399
2008-01-15,66904.2415980005
2008-01-16,66185.50224877537
2008-01-17,65265.776512493576
2008-01-18,65179.40081664294
2008-01-22,63497.83141869993
2008-01-23,63267.94175237408
2008-01-24,64547.03716326845
2008-01-25,63224.83743993799
2008-01-28,63713.52005185883
2008-01-29,63828.46488502175
2008-01-30,63770.9924684403
2008-01-31,64863.30252544491
2008-02-01,65524.23531613171
2008-02-04,64604.50957984991
2008-02-05,62764.72396532944
2008-02-06,61528.8999378496
2008-02-07,61959.94306221056
2008-02-08,62664.314307290304
2008-02-11,63339.78227310091
2008-02-12,62980.41259848834
2008-02-13,64360.2518093787
2008-02-14,63196.10123164725
2008-02-15,62980.41259848834
2008-02-19,62865.467765325426
2008-02-20,63152.99691921116
2008-02-21,62549.369474127394
2008-02-22,62779.259140453236
2008-02-25,63095.524502629705
2008-02-26,63339.78227310091
2008-02-27,63656.04763527737
2008-02-28,63411.62279382774
2008-02-29,61730.05339588471
2008-03-03,61327.579408836056
2008-03-04,61672.580979303246
2008-03-05,61974.311166355925
2008-03-06,60609.007130589365
2008-03-07,60465.32608913572
2008-03-10,59301.17551140427
2008-03-11,61557.803217118766
2008-03-12,61385.05182541751
2008-03-13,61859.366333192986
2008-03-14,60723.95196375229
2008-03-17,59617.2738026023
2008-03-18,62276.20842438703
2008-03-19,60738.32006789764
2008-03-20,61978.98915375208
2008-03-24,64122.00859413113
2008-03-25,64481.712410700566
2008-03-26,64294.75998583238
2008-03-27,62870.814036635325
2008-03-28,62554.381603480426
2008-03-31,62885.18214078069
2008-04-01,65574.85782259736
2008-04-02,65431.00971016528
2008-04-03,65574.85782259736
2008-04-04,65963.2978474575
2008-04-07,65819.44973502542
2008-04-08,65315.89780602392
2008-04-09,64582.45621069656
2008-04-10,65503.017301870525
2008-04-11,63690.63132781331
2008-04-14,63402.935102949144
2008-04-15,63489.31079879976
2008-04-16,65258.425389442455
2008-04-17,65114.57727701038
2008-04-18,67185.7561966626
2008-04-21,67660.57191737338
2008-04-22,66653.63513034879
2008-04-23,67387.24379665457
2008-04-24,67991.37245467365
2008-04-25,67818.78813395083
2008-04-28,67948.10107125911
2008-04-29,68466.02110440601
2008-04-30,67904.99675882302
2008-05-01,70048.18327018051
2008-05-02,70148.92707017649
2008-05-05,69947.43947018452
2008-05-06,70378.98380748078
2008-05-07,69098.88597071581
2008-05-08,69616.63893288426
2008-05-09,69343.31081216544
2008-05-12,70609.20761576349
2008-05-13,70796.16004063166
2008-05-14,70637.94382405422
2008-05-15,71874.9373483831
2008-05-16,71932.24269398613
2008-05-19,71414.6568027961
2008-05-20,70868.0005613585
2008-05-21,69300.20649972935
2008-05-22,69544.79841215743
2008-05-23,69328.94270802007
2008-05-27,70551.56812820358
2008-05-28,70839.26435306776
2008-05-29,71472.12921937756
2008-05-30,71932.40976496456
2008-06-02,71054.95298622666
2008-06-03,70666.68003234496
2008-06-04,71572.87301937355
2008-06-05,72709.12274370645
2008-06-06,70522.83191991286
2008-06-09,70148.92707017649
2008-06-10,69817.9594618978
2008-06-11,68149.5886712511
2008-06-12,68207.06108783257
2008-06-13,69573.53462044815
2008-06-16,70192.0313826126
2008-06-17,69817.9594618978
2008-06-18,69070.14976242508
2008-06-19,70148.92707017649
2008-06-20,68255.1775296217
2008-06-23,67722.722321351
2008-06-24,67377.2195379485
2008-06-25,68471.20030473746
2008-06-26,65707.51217947433
2008-06-27,65707.51217947433
2008-06-30,65016.673683647765
2008-07-01,65937.90305873546
2008-07-02,64354.571396111925
2008-07-03,64239.29242099213
2008-07-07,64628.06658780916
2008-07-08,66168.12686701819
2008-07-09,64412.04381269339
2008-07-10,65174.88990022522
2008-07-11,64138.54862099615
2008-07-14,63663.56582930692
2008-07-15,63677.93393345229
2008-07-16,65261.265596075835
2008-07-17,65693.14407532896
2008-07-18,64181.82000441067
2008-07-21,64455.31519610792
2008-07-22,64455.31519610792
2008-07-23,65304.53697949037
2008-07-24,64325.668116842775
2008-07-25,65160.521796079855
2008-07-28,63937.06102100416
2008-07-29,65261.265596075835
2008-07-30,65592.40027533297
2008-07-31,65434.01698777709
2008-08-01,64599.16330854001
2008-08-04,63951.42912514953
2008-08-05,66110.4873794583
2008-08-06,67118.09245039662
2008-08-07,66600.00534627131
2008-08-08,68111.3294171896
2008-08-11,68730.1603213109
2008-08-12,68802.16791301616
2008-08-13,68658.31980058408
2008-08-14,69449.90209640663
2008-08-15,69320.42208811991
