date,holdings,n,equity,cash
2005-11-30,,0,10000.0,10000.0
2022-11-30,BIIB:1522.48@305.17 | ENPH:1446.29@320.59,2,928747.0184242234,464.5947940866463
2023-01-31,NFLX:10766.59@35.39 | PDD:3883.78@97.98,2,761900.2664797691,381.2942668107571
2023-02-28,NFLX:10766.59@32.21 | PDD:3883.78@87.73,2,687929.167275026,381.2942668107571
2023-03-31,AMD:3391.89@98.01 | NVDA:12007.49@27.72,2,665620.847149228,333.10456900834106
2023-05-31,AMD:3614.25@118.21 | NVDA:11317.90@37.76,2,854591.2172012926,26.337854469125887
2023-06-30,AMD:3903.76@113.91 | NVDA:10534.93@42.22,2,889492.7035860107,33.043967626203084
2023-07-31,META:1481.09@315.83 | NVDA:10050.50@46.64,2,936971.965277985,468.7033020358649
2023-08-31,META:1584.95@293.31 | NVDA:9439.60@49.26,2,929905.0967675787,30.52609326878155
2023-10-31,PDD:4219.13@101.42 | ZS:2693.57@158.69,2,855774.7097454029,428.2977463324787
2023-11-30,PDD:3915.35@147.44 | ZS:2921.78@197.53,2,1154463.4653417743,45.16978570628271
2024-01-31,PDD:4669.23@126.87 | ZS:2514.88@235.67,2,1185161.4941978948,95.83638110708853
2024-02-29,CRWD:7323.92@81.04 | ZS:2457.96@241.97,2,1188858.8396290278,594.7002838663757
2024-04-30,CRWD:6569.08@73.14 | NVDA:5557.87@86.25,2,960291.3476789731,480.3411509252619
2024-05-31,CEG:2610.76@214.68 | NVDA:5131.96@109.44,2,1122697.540266596,561.5974270654842
2024-07-31,CEG:2904.33@187.55 | NVDA:4664.03@116.83,2,1089658.5462286687,55.16867186578747
2024-09-30,MELI:319.16@2051.96 | NVDA:5411.28@121.25,2,1311671.516557645,656.2058417630615
2024-10-31,ARM:4828.71@141.30 | NVDA:5158.11@132.55,2,1366702.7397848987,683.662547202548
2024-12-31,APP:1984.59@323.83 | MSTR:2216.72@289.62,2,1285322.3352964101,643.2930038714549
2025-01-31,APP:1984.59@369.59 | MSTR:2216.72@334.79,2,1476266.8324659197,643.2930038714549
2025-02-28,APP:1862.41@325.74 | MSTR:2374.58@255.43,2,1213239.8602348294,40.40072912560572
2025-03-31,APP:2221.87@264.97 | MSTR:2043.30@288.27,2,1177845.3481017104,95.43659256407409
2025-04-30,APP:2552.08@269.31 | MSTR:1808.88@380.11,2,1374961.2567873402,89.10617236494727
2025-06-30,PLTR:5947.07@136.32 | ZS:2579.64@313.94,2,1621367.157231022,811.4725396926515
2025-07-31,PLTR:5302.09@158.35 | ZS:2939.03@285.56,2,1678958.2679323582,102.83427918571397
2025-09-30,APP:1282.67@718.54 | PLTR:5062.77@182.42,2,1846125.3305598227,923.4972317537758
2025-10-31,APP:1437.31@637.33 | MU:4089.82@223.55,2,1831238.795401935,916.1150913984748
2025-12-31,APP:1583.75@673.82 | WDC:6194.44@172.14,2,2133590.441787267,98.87646729587868
2026-03-31,MU:3403.23@337.79 | WDC:4261.66@270.42,2,2303159.6305149747,1151.8725124923512
2026-04-30,MU:3492.60@517.08 | WDC:4157.61@434.41,2,3612096.6034438703,46.302576281363145
2026-06-30,MU:2896.79@1154.11 | WDC:5230.99@638.72,2,6685048.916065898,686.9580627474934
